"Tags","URLS","Description"
"Mapped_To_Mitochondria_Rate","https://rockefelleruniversity.github.io/RU_ATACseq/presentations/slides/RU_ATAC.html#51","The proportion of reads mapping to the mitochondrial genome."
"Non_Redundant_Fraction","https://rockefelleruniversity.github.io/RU_ATACseq/presentations/slides/RU_ATAC.html#51","Number of distinct uniquely mapping reads (i.e. after removing duplicates) / Total number of reads."
"PBC_1","https://rockefelleruniversity.github.io/RU_ATACseq/presentations/slides/RU_ATAC.html#51","The PCRbottleneckCoefficient_1 is calculated as the number of positions in genome with exactly 1 read mapped uniquely compared to the number of positions with at least 1 read."
"PBC_2","https://rockefelleruniversity.github.io/RU_ATACseq/presentations/slides/RU_ATAC.html#51","The PCRbottleneckCoefficient_2 is a secondary measure of bottlenecking. It is calculated as the number of positions in genome with exactly 1 read mapped uniquely compared to the number of positions with exactly 2 reads mapping uniquely."
"Proper_Pair_Rate","https://rockefelleruniversity.github.io/RU_ATACseq/presentations/slides/RU_ATAC.html#51","The proportion of paired reads that are aligned in opposite directions and within a reasonable distance of each other on the same reference sequence/chromosome."
"TSSE","https://rockefelleruniversity.github.io/RU_ATACseq/presentations/slides/RU_ATAC.html#51","The TSS enrichment calculation is a signal to noise calculation. The reads around a reference set of TSSs are collected to form an aggregate distribution of reads centered on the TSSs and extending to 1000 bp in either direction (for a total of 2000bp). This distribution is then normalized by taking the average read depth in the 100 bps at each of the end flanks of the distribution (for a total of 200bp of averaged data) and calculating a fold change at each position over that average read depth."
"blacklist","https://rockefelleruniversity.github.io/RU_ChIPseq/presentations/slides/ChIPseq_In_Bioconductor2.html#25","ChIPseq will often show the presence of common artifacts, such as ultra-high signal regions. Such regions can confound peak calling, fragment length estimation and QC metrics. ENCODE Data Analysis Center (DAC) blacklisted regions were created as a reference to help deal with these regions."
"peak_calling","https://rockefelleruniversity.github.io/RU_ChIPseq/presentations/slides/ChIPseq_In_Bioconductor2.html#36","Peak caling is the process of scanning the genome to identify regions with enriched read signal (ideally compared to a control sample) using a count based statistic."
"Percent_Duplicated","https://rockefelleruniversity.github.io/RU_ChIPseq/presentations/slides/ChIPseq_In_Bioconductor2.html#31","Duplicates reflect reads mapping to exact shared location on the genome. High duplication rates in ChIP-seq are often associated with low complexity libraries but should be assessed in context of total read numbers and antibody efficiency/specificity."
"Percent_Multimapping","NA","Multimapping reads are reads who can be assigned to more than one location with equal certainty. These reads are often associated with repeat regions of genome and high multimapping rates may reflect lower signal to noise for ChIP and higher backgrounds. It should be noted that some ChIPs are for factors or epigenetic marks associated to repeat DNA and so there high multimapping rates should be expected"
"Percent_Reads_in_Blacklist","https://rockefelleruniversity.github.io/RU_ChIPseq/presentations/slides/ChIPseq_In_Bioconductor2.html#25","The percentage of reads that overlap with called blacklisted regions (see 'blacklist' in glossary below for information on peak calling)."
"Percent_Reads_in_Peaks","NA","The percentage of reads that overlap with called peak regions (see 'peak_calling' in glossary below for information on peak calling)."
"Predicted_Fragment_Length","https://rockefelleruniversity.github.io/RU_ChIPseq/presentations/slides/ChIPseq_In_Bioconductor2.html#15","In single-end sequencing typically a short strech of the actual dsDNA fragment is sequenced. Fragment length is determined by systematically shifting the reads on each strand towards each other until the minimum genome coverage is achieved."
"Relative_Cross_Coverage","https://rockefelleruniversity.github.io/RU_ChIPseq/presentations/slides/ChIPseq_In_Bioconductor2.html#19","The relative cross coverage metric is calculated by comparing the maximum cross coverage peak (at the shift size corresponding to the fragment length) to the cross coverage at a shift size corresponding to the read length, with higher scores (generally 1 or greater) indicating good enrichment."
"Standardized_Standard_Deviation_noBlacklist","https://rockefelleruniversity.github.io/RU_ChIPseq/presentations/slides/ChIPseq_In_Bioconductor2.html#27","The standardized standard deviation (SSD) score with the blacklist regions removed. SSD scores are dependent on the degree of total genome wide signal pile-up and so are sensitive to regions of high signal found with Blacklisted regions as well as genuine ChIP enrichment."
"Standardized_Standard_Deviation","https://rockefelleruniversity.github.io/RU_ChIPseq/presentations/slides/ChIPseq_In_Bioconductor2.html#27","The standardized standard deviation (SSD) score is an indication of evidence of enrichment. It is computed by looking at the standard deviation of signal pile-up along the genome normalised to the total number of reads."
"phred_fastq_quality_score","https://rockefelleruniversity.github.io/Genomic_Data//presentations/slides/GenomicsData.html#14","The quality scores (i.e. phred score) for each base (e.g. q20 and q30) reflect the likelihood that the assignment of that base is incorrect. Q = -10*log10(P), with P being the probability, so q30 means there is a probability of 0.001 (0.1%) that the base is incorrect."
"Assigned","NA","mapped reads that  can be assigned."
"Unassigned_Ambiguity","NA","alignments that overlap two or more features (feature-level summarization) or meta-features (meta-feature-level summarization)."
"Unassigned_Chimera","NA","two ends in a paired end alignment are located on different chromosomes or have unexpected orientation."
"Unassigned_Duplicate","NA","alignments marked as duplicate (indicated in the FLAG field)."
"Unassigned_FragementLength","NA","fragment length inferred from paired end alignment does not meet the length criteria."
"Unassigned_Juction","NA","alignments that contain junctions."
"Unassigned_MappingQuality","NA","alignments with a mapping quality score lower than the threshold."
"Unassigned_MultiMapping","NA","alignments reported for multi-mapping reads (indicated by ‘NH’ tag)."
"Unassigned_NoFeatures","NA","alignments that do not overlap any feature."
"Unassigned_Nonjuction","NA","alignments that do not contain junctions."
"Unassigned_Overlapping_Length","NA","alignments that do not overlap any feature (or metafeature) with the minimum required overlap length."
"Unassigned_Unmapped:","NA","Reads that have an unexpected read type (eg. being a single end read included in a paired end dataset) and also cannot be counted with confidence (eg. due to stranded counting). Such reads are typically generated from a read trimming program."
"Unassigned_Secondary","NA","alignments reported as secondary alignments (indicated in the] FLAG field)."
"Unassigned_Singleton","NA","read pairs that have only one end mapped."
"Unassigned_Unmapped","NA","unmapped reads that cannot be assigned."
"bam","https://rockefelleruniversity.github.io/Genomic_Data//presentations/slides/GenomicsData.html#39","BAM is the compressed binary version of the Sequence Alignment/Map (SAM) format, a compact and index-able representation of nucleotide sequence alignments."
"bigwig","https://rockefelleruniversity.github.io/Genomic_Data//presentations/slides/GenomicsData.html#39","The bigWig format is for display of dense, continuous data that will be displayed in a genome browser (e.g. IGV or UCSC) as a graph. Examples of this type of data include ChIP-seq and RNA-seq read signal."
"fastq","https://rockefelleruniversity.github.io/Genomic_Data//presentations/slides/GenomicsData.html#12","A text-based file containing both a sequence (e.g. nucleotide sequence) and the quality scores for that particular sequence encoded by an ASCII character."
"GTF","https://rockefelleruniversity.github.io/Genomic_Data//presentations/slides/GenomicsData.html#29","GTF (Gene Transfer Format) is an extension of GFF (General Feature Format) that is comprised of 9 tab separated columns, and links features (e.g. exons) to genomic locations. GTF extends GFF by adding a column with meta-feature information (e.g. gene/transcript identifiers)."
"reference_fasta","https://rockefelleruniversity.github.io/Genomic_Data//presentations/slides/GenomicsData.html#6","A reference fasta is a collection of contigs that serves as a pre-built map of a particular oprganisms genome and allows for genomic features to be evaluated in their linear genomic context. Contigs are stretches of DNA sequence encoded as A,G,C,T,N and in this case are represented in a fasta file format containing information about that contig."
"ID_to_symbol_map","https://rockefelleruniversity.github.io/Bioconductor_Introduction/presentations/slides/GenomicFeatures_In_Bioconductor.html#45","The mapping of a gene to alternative IDs, symbols, and functional annoation is contained in the Bioconductor OrgDb packages."
"BAD_CYCLES","NA","The number of instrument cycles in which 80% or more of base calls were no-calls."
"CATEGORY","NA","One of either UNPAIRED (for a fragment run), FIRST_OF_PAIR when metrics are for only the first read in a paired run, SECOND_OF_PAIR when the metrics are for only the second read in a paired run or PAIR when the metrics are aggregated for both first and second reads in a pair."
"MEAN_READ_LENGTH","NA","The mean read length of the set of reads examined. When looking at the data for a single lane with equal length reads this number is just the read length. When looking at data for merged lanes with differing read lengths this is the mean read length of all reads."
"PCT_ADAPTER","NA","The fraction of PF reads that are unaligned and match to a known adapter sequence right from the start of the read."
"PCT_CHIMERAS","NA","The fraction of reads that map outside of a maximum insert size (usually 100kb) or that have the two ends mapping to different chromosomes."
"PCT_PF_READS_ALIGNED","NA","The percentage of PF reads that aligned to the reference sequence. PF_READS_ALIGNED / PF_READS"
"PCT_PF_READS_IMPROPER_PAIRS","NA","The fraction of (primary) reads that are *not* ""properly"" aligned in pairs (as per SAM flag 0x2). PF_READS_IMPROPER_PAIRS / PF_READS_ALIGNED"
"PCT_PF_READS","NA","The fraction of reads that are PF (PF_READS / TOTAL_READS)"
"PCT_READS_ALIGNED_IN_PAIRS","NA","The fraction of reads whose mate pair was also aligned to the reference. READS_ALIGNED_IN_PAIRS / PF_READS_ALIGNED"
"PF_ALIGNED_BASES","NA","The total number of aligned bases, in all mapped PF reads, that are aligned to the reference sequence."
"PF_HQ_ALIGNED_BASES","NA","The number of bases aligned to the reference sequence in reads that were mapped at high quality. Will usually approximate PF_HQ_ALIGNED_READS * READ_LENGTH but may differ when either mixed read lengths are present or many reads are aligned with gaps."
"PF_HQ_ALIGNED_Q20_BASES","NA","The subset of PF_HQ_ALIGNED_BASES where the base call quality was Q20 or higher."
"PF_HQ_ALIGNED_READS","NA","The number of PF reads that were aligned to the reference sequence with a mapping quality of Q20 or higher signifying that the aligner estimates a 1/100 (or smaller) chance that the alignment is wrong."
"PF_HQ_ERROR_RATE","NA","The fraction of bases that mismatch the reference in PF HQ aligned reads."
"PF_HQ_MEDIAN_MISMATCHES","NA","The median number of mismatches versus the reference sequence in reads that were aligned to the reference at high quality (i.e. PF_HQ_ALIGNED READS)."
"PF_INDEL_RATE","NA","The number of insertion and deletion events per 100 aligned bases. Uses the number of events as the numerator, not the number of inserted or deleted bases."
"PF_MISMATCH_RATE","NA","The rate of bases mismatching the reference for all bases aligned to the reference sequence."
"PF_NOISE_READS","NA","The number of PF reads that are marked as noise reads. A noise read is one which is composed entirely of A bases and/or N bases. These reads are marked as they are usually artifactual and are of no use in downstream analysis."
"PF_READS_ALIGNED","NA","The number of PF reads that were aligned to the reference sequence. This includes reads that aligned with low quality (i.e. their alignments are ambiguous)."
"PF_READS_IMPROPER_PAIRS","NA","The number of (primary) aligned reads that are **not** ""properly"" aligned in pairs (as per SAM flag 0x2)."
"PF_READS","NA","The number of PF reads where PF is defined as passing Illumina's filter."
"READS_ALIGNED_IN_PAIRS","NA","The number of aligned reads whose mate pair was also aligned to the reference."
"STRAND_BALANCE","NA","The number of PF reads aligned to the positive strand of the genome divided by the number of PF reads aligned to the genome."
"TOTAL_READS","NA","The total number of reads including all PF and non-PF reads. When CATEGORY equals PAIR this value will be 2x the number of clusters."
"CODING_BASES","NA","Number of bases in primary alignments that align to a non-UTR coding base for some gene, and not ribosomal sequence."
"CORRECT_STRAND_READS","NA","Number of aligned reads that are mapped to the correct strand. 0 if library is not strand-specific."
"IGNORED_READS","NA","Number of primary alignments that are mapped to a sequence specified on command-line as IGNORED_SEQUENCE. These are not counted in PF_ALIGNED_BASES, CORRECT_STRAND_READS, INCORRECT_STRAND_READS, or any of the base-counting metrics. These reads are counted in PF_BASES."
"INCORRECT_STRAND_READS","NA","Number of aligned reads that are mapped to the incorrect strand. 0 if library is not strand-specific."
"INTERGENIC_BASES","NA","Number of bases in primary alignments that do not align to any gene."
"INTRONIC_BASES","NA","Number of bases in primary alignments that align to an intronic base for some gene, and not a coding or UTR base."
"MEDIAN_3PRIME_BIAS","NA","The median 3 prime bias of the 1000 most highly expressed transcripts, where 3 prime bias is calculated per transcript as: mean coverage of the 3 prime-most 100 bases divided by the mean coverage of the whole transcript."
"MEDIAN_5PRIME_BIAS","NA","The median 5 prime bias of the 1000 most highly expressed transcripts. The 5 prime bias is calculated per transcript as: mean coverage of the 5 prime-most 100 bases divided by the mean coverage of the whole transcript."
"MEDIAN_5PRIME_TO_3PRIME_BIAS","NA","The ratio of coverage at the 5 prime end to the 3 prime end based on the 1000 most highly expressed transcripts."
"MEDIAN_CV_COVERAGE","NA","The median coefficient of variation (CV) or stdev/mean for coverage values of the 1000 most highly expressed transcripts. Ideal value = 0."
"NUM_R1_TRANSCRIPT_STRAND_READS","NA","The number of reads that support the model where R1 is on the strand of transcription and R2 is on the opposite strand."
